pedido_id, fecha     , producto           , categoria, cantidad, precio_unitario, metodo_pago  , estado     , tiempo_entrega_min
P020     , 2026-08-13, Gaseosa            , Bebida   , 1       ,          6000.0, Tarjeta      , Entregado  , 17.0
P021     , 2026-08-12, Sándwich de pollo  , Comida   , 3       ,         14000.0, Transferencia, Entregado  , 31.0
P022     , 2026-08-05, Pizza personal     , Comida   , 1       ,         16000.0, Transferencia, Entregado  , 24.0
P023     , 2026-08-13, Ensalada           , Comida   , 3       ,         13000.0, Efectivo     , Entregado  , 30.0
P024     , 2026-08-01, Brownie            , Postre   , 2       ,          6500.0, Efectivo     , Cancelado  , 
P025     , 2026-08-04, Sándwich de pollo  , Comida   , 1       ,         14000.0, Tarjeta      , Entregado  , 190.0
P026     , 2026-08-12, Helado             , Postre   , 2       ,          8000.0, Transferencia, Entregado  , 16.0
P027     , 2026-08-11, Café               , Bebida   , 3       ,          5000.0, Efectivo     , Entregado  , 43.0
P028     , 2026-08-01, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Entregado  , 31.0
P029     , 2026-08-07, Sándwich de pollo  , Comida   , 2       ,         14000.0, Tarjeta      , Entregado  , 39.0
P030     , 2026-08-15, Gaseosa            , Bebida   , 2       ,          6000.0, Transferencia, Cancelado  , 
P031     , 2026-08-11, Pizza personal     , Comida   , 2       ,         16000.0, Tarjeta      , Preparación, 
P032     , 2026-08-19, Pizza personal     , Comida   , 1       ,         16000.0, Transferencia, Entregado  , 31.0
P033     , 2026-08-18, Brownie            , Postre   , 2       ,          6500.0, Tarjeta      , Preparación, 
P034     , 2026-08-05, Pizza personal     , Comida   , 3       ,         16000.0, Efectivo     , Preparación, 
P035     , 2026-08-13, Sándwich de pollo  , Comida   , 1       ,         14000.0, Transferencia, Cancelado  , 
P036     , 2026-08-04, Pizza personal     , Comida   , 2       ,         16000.0, Tarjeta      , Entregado  , 33.0
P037     , 2026-08-12, Hamburguesa clásica, Comida   , 2       ,         18000.0, efectivo     , Entregado  , 36.0
P038     , 2026-08-21, Gaseosa            , Bebida   , 2       ,          6000.0, Efectivo     , Preparación, 
P039     , 2026-08-11, Jugo natural       , Bebida   , 1       ,          7000.0, Transferencia, Entregado  , 27.0
P040     , 2026-08-18, Jugo natural       , Bebida   , 1       ,          7000.0, Efectivo     , Entregado  , 48.0
P041     , 2026-08-01, Ensalada           , Comida   , 1       ,         13000.0, Transferencia, Entregado  , 43.0
P042     , 2026-08-17, Sándwich de pollo  , Comida   , 2       ,         14000.0, Efectivo     , Entregado  , 19.0
P043     , 2026-08-19, Pizza personal     , Comida   , 1       ,         16000.0, Transferencia, Preparación, 
P044     , 2026-08-04, Gaseosa            , Bebida   , 1       ,          6000.0, Efectivo     , Preparación, 
P045     , 2026-08-13, Ensalada           , Comida   , 1       ,         13000.0, Tarjeta      , Entregado  , 23.0
P046     , 2026-08-16, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Cancelado  , 
P047     , 2026-08-08, Jugo natural       , Bebida   , 1       ,          7000.0, Efectivo     , Cancelado  , 
P048     , 2026-08-04, Gaseosa            , Bebida   , 1       ,          6000.0, Transferencia, Cancelado  , 
P049     , 2026-08-15, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, ENTREGADO  , 18.0
P050     , 2026-08-12, Brownie            , Postre   , 1       ,          6500.0, Tarjeta      , Entregado  , 16.0
P051     , 2026-08-04, Pizza personal     , Comida   , 1       ,         16000.0, Tarjeta      , Cancelado  , 
P052     , 2026-08-17, Helado             , Postre   , 1       ,          8000.0, Transferencia, Cancelado  , 
P053     , 2026-08-01, Pizza personal     , Comida   , 1       ,         16000.0, Efectivo     , Preparación, 
P054     , 2026-08-06, Jugo natural       , Bebida   , 1       ,          7000.0, Transferencia, Entregado  , 30.0
P055     , 2026-08-21, Pizza personal     , Comida   , 2       ,         16000.0, Tarjeta      , Entregado  , 16.0
P056     , 2026-08-05, Jugo natural       , Bebida   , 1       ,          7000.0, Tarjeta      , Cancelado  , 
P057     , 2026-08-02, Pizza personal     , Comida   , 2       ,         16000.0, Transferencia, Cancelado  , 
P058     , 2026-08-07, Brownie            , Postre   , 2       ,          6500.0, Transferencia, Entregado  , 20.0
P059     , 2026-08-11, Brownie            , Postre   , 2       ,          6500.0, Tarjeta      , Cancelado  , 
P060     , 2026-08-14, Hamburguesa clásica, Comida   , 2       ,         18000.0, Transferencia, Entregado  , 27.0
P061     , 2026-08-12, Hamburguesa clásica, Comida   , 2       ,         18000.0, Transferencia, Cancelado  , 
P062     , 2026-08-07, Jugo natural       , Bebida   , 2       ,          7000.0, Transferencia, Cancelado  , 
P063     , 2026-08-10, Helado             , Postre   , 3       ,          8000.0, transferencia, Preparación, 
P064     , 2026-08-05, Helado             , Postre   , 1       ,          8000.0, Transferencia, Entregado  , 33.0
P065     , 2026-08-17, Brownie            , Postre   , 1       ,          6500.0, Transferencia, Entregado  , 35.0
P066     , 2026-08-04, Brownie            , Postre   , 1       ,          6500.0, Tarjeta      , Cancelado  , 
P067     , 2026-08-17, Jugo natural       , Bebida   , 2       ,          7000.0, Tarjeta      , Entregado  , 36.0
P068     , 2026-08-04, Sándwich de pollo  , Comida   , 3       ,         14000.0, Efectivo     , Entregado  , 35.0
P069     , 2026-08-08, Gaseosa            , Bebida   , 1       ,          6000.0, Efectivo     , Preparación, 
P070     , 2026-08-20, Brownie            , Postre   , 2       ,          6500.0, Efectivo     , Entregado  , 16.0
P071     , 2026-08-11, Brownie            , Postre   , 1       ,          6500.0, Efectivo     , Entregado  , 21.0
P072     , 2026-08-06, Café               , Bebida   , 1       ,          5000.0, Transferencia, Entregado  , 28.0
P073     , 2026-08-16, Café               , Bebida   , 1       ,          5000.0, Tarjeta      , Preparación, 
P074     , 2026-08-02, Café               , Bebida   , 1       ,          5000.0, Transferencia, Entregado  , -4.0
P075     , 2026-08-19, Pizza personal     , Comida   , 2       ,         16000.0, Efectivo     , Cancelado  , 
P076     , 2026-08-07, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Cancelado  , 
P077     , 2026-08-12, Pizza personal     , Comida   , 1       ,         16000.0, Tarjeta      , Cancelado  , 
P078     , 2026-08-15, Hamburguesa clásica, Comida   , 2       ,         18000.0, Transferencia, Entregado  , 16.0
P079     , 2026-08-07, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Entregado  , 14.0
P080     , 2026-08-16, Ensalada           , Comida   , 3       ,         13000.0, Efectivo     , preparación, 31.0
P081     , 2026-08-04, Gaseosa            , Bebida   , 1       ,          6000.0, Tarjeta      , Entregado  , 9.0
P082     , 2026-08-04, Gaseosa            , Bebida   , 2       ,          6000.0, Tarjeta      , Entregado  , 27.0
P083     , 2026-08-04, Ensalada           , Comida   , 3       ,         13000.0, Efectivo     , Preparación, 
P084     , 2026-08-11, Gaseosa            , Bebida   , 3       ,          6000.0, Efectivo     , Entregado  , 29.0
P085     , 2026-08-19, Brownie            , Postre   , 3       ,          6500.0, Tarjeta      , Entregado  , 36.0
P086     , 2026-08-20, Ensalada           , Comida   , 1       ,         13000.0, Tarjeta      , Entregado  , 32.0
P087     , 2026-08-14, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Entregado  , 41.0
P088     , 2026-08-14, Brownie            , Postre   , 1       ,          6500.0, Tarjeta      , Entregado  , 44.0
P089     , 2026-08-05, Brownie            , Postre   , 1       ,          6500.0, Transferencia, Entregado  , 31.0
P090     , 2026-08-04, Brownie            , Postre   , 2       ,          6500.0, Transferencia, Preparación, 
P091     , 2026-08-10, Ensalada           , Comida   , 1       ,         13000.0, Efectivo     , Entregado  , 31.0
P092     , 2026-08-09, Ensalada           , Comida   , 2       ,         13000.0, TARJETA      , Entregado  , 30.0
P093     , 2026-08-07, Hamburguesa clásica, Comida   , 1       ,         18000.0, Transferencia, Entregado  , 28.0
P094     , 2026-08-03, Gaseosa            , Bebida   , 1       ,          6000.0, Transferencia, Entregado  , 29.0
P095     , 2026-08-02, Hamburguesa clásica, Comida   , 1       ,         18000.0, Transferencia, Entregado  , 25.0
P096     , 2026-08-13, Sándwich de pollo  , Comida   , 2       ,         14000.0, Tarjeta      , Entregado  , 26.0
P097     , 2026-08-13, Jugo natural       , Bebida   , 2       ,          7000.0, Tarjeta      , Entregado  , 33.0
P098     , 2026-08-07, Ensalada           , Comida   , 1       ,         13000.0, Efectivo     , Entregado  , 27.0
P099     , 2026-08-05, Jugo natural       , Bebida   , 1       ,          7000.0, Tarjeta      , Entregado  , 32.0
P100     , 2026-08-07, Brownie            , Postre   , 3       ,          6500.0, Efectivo     , Entregado  , 29.0
P101     , 2026-08-03, Sándwich de pollo  , Comida   , 1       ,         14000.0, Tarjeta      , Entregado  , 28.0
P102     , 2026-08-16, Helado             , Postre   , 3       ,          8000.0, Transferencia, Entregado  , 38.0
P103     , 2026-08-20, Jugo natural       , Bebida   , 3       ,          7000.0, Efectivo     , Entregado  , 44.0
P104     , 2026-08-20, Ensalada           , Comida   , 3       ,         13000.0, Efectivo     , Entregado  , 37.0
P105     , 2026-08-03, Café               , Bebida   , 1       ,          5000.0, Efectivo     , Entregado  , 20.0
P106     , 2026-08-08, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Entregado  , 33.0
P107     , 2026-08-06, Hamburguesa clásica, Comida   , 3       ,         18000.0, Transferencia, Entregado  , 27.0
P108     , 2026-08-15, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Entregado  , 34.0
P109     , 2026-08-07, Helado             , Postre   , 1       ,          8000.0, Tarjeta      , Entregado  , 48.0
P110     , 2026-08-17, Hamburguesa clásica, Comida   , 1       ,         18000.0, Efectivo     , Preparación, 
P111     , 2026-08-20, Ensalada           , Comida   , 2       ,         13000.0, Tarjeta      , Preparación, 
P112     , 2026-08-11, Jugo natural       , Bebida   , 2       ,          7000.0, Efectivo     , Entregado  , 31.0
P113     , 2026-08-08, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Cancelado  , 
P114     , 2026-08-03, Café               , Bebida   , 2       ,          5000.0, Transferencia, Cancelado  , 
P115     , 2026-08-18, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Entregado  , 47.0
P116     , 2026-08-02, Helado             , Postre   , 1       ,          8000.0, Transferencia, Cancelado  , 
P117     , 2026-08-06, Gaseosa            , Bebida   , 1       ,          6000.0, Tarjeta      , Entregado  , 33.0
P118     , 2026-08-18, Ensalada           , Comida   , 1       ,         13000.0, Transferencia, Entregado  , 20.0
P119     , 2026-08-07, Jugo natural       , Bebida   , 3       ,          7000.0, Efectivo     , Entregado  , 26.0
P120     , 2026-08-16, Sándwich de pollo  , Comida   , 2       ,         14000.0, Transferencia, Entregado  , 31.0
P121     , 2026-08-18, Gaseosa            , Bebida   , 1       ,          6000.0, Tarjeta      , Entregado  , 26.0
P122     , 2026-08-12, Helado             , Postre   , 1       ,          8000.0, Efectivo     , Entregado  , 23.0
P123     , 2026-08-02, Café               , Bebida   , 1       ,          5000.0, Transferencia, Entregado  , 27.0
P124     , 2026-08-19, Ensalada           , Comida   , 1       ,         13000.0, Tarjeta      , Preparación, 
P125     , 2026-08-18, Gaseosa            , Bebida   , 2       ,          6000.0, Transferencia, Cancelado  , 
P126     , 2026-08-02, Pizza personal     , Comida   , 1       ,         16000.0, Efectivo     , Entregado  , 27.0
P127     , 2026-08-08, Helado             , Postre   , 3       ,          8000.0, Transferencia, Entregado  , 32.0
P128     , 2026-08-11, Gaseosa            , Bebida   , 3       ,          6000.0, Transferencia, Preparación, 
P129     , 2026-08-10, Hamburguesa clásica, Comida   , 2       ,         18000.0, Transferencia, Entregado  , 42.0
P130     , 2026-08-11, Ensalada           , Comida   , 1       ,         13000.0, Tarjeta      , Entregado  , 18.0
P131     , 2026-08-10, Café               , Bebida   , 1       ,          5000.0, Transferencia, Entregado  , 27.0
P132     , 2026-08-06, Ensalada           , Comida   , 2       ,         13000.0, Tarjeta      , Preparación, 
P133     , 2026-08-03, Gaseosa            , Bebida   , 2       ,          6000.0, Efectivo     , Entregado  , 37.0
P134     , 2026-08-02, Ensalada           , Comida   , 1       ,         13000.0, Transferencia, Cancelado  , 
P135     , 2026-08-08, Hamburguesa clásica, Comida   , 2       ,         18000.0, Efectivo     , Entregado  , 20.0
P136     , 2026-08-17, Pizza personal     , Comida   , 2       ,         16000.0, Efectivo     , Preparación, 
P137     , 2026-08-08, Jugo natural       , Bebida   , 3       ,          7000.0, Efectivo     , Entregado  , 40.0
P138     , 2026-08-10, Helado             , Postre   , 1       ,          8000.0, Efectivo     , Entregado  , 32.0
P139     , 2026-08-14, Jugo natural       , Bebida   , 1       ,          7000.0, Efectivo     , Entregado  , 11.0
P140     , 2026-08-12, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Cancelado  , 
P141     , 2026-08-05, Café               , Bebida   , -2      ,          5000.0, Efectivo     , Entregado  , 20.0
P142     , 2026-08-08, Pizza personal     , Comida   , 1       ,                , Tarjeta      , Entregado  , 27.0
P143     , 2026-19-40, Brownie            , Postre   , 2       ,          6500.0, Transferencia, Entregado  , 31.0
P144     , 2026-08-12, Helado             , Comida   , 1       ,          8000.0, Tarjeta      , Entregado  , 24.0
P145     , 2026-08-14, Jugo natural       , Bebida   , 1       ,          7000.0, Efectivo     , Entregado  , 240.0
P008     , 2026-08-12, Jugo natural       , Bebida   , 3       ,          7000.0, Tarjeta      , Preparación, 
P026     , 2026-08-12, Helado             , Postre   , 2       ,          8000.0, Transferencia, Entregado  , 16.0
P055     , 2026-08-21, Pizza personal     , Comida   , 2       ,         16000.0, Tarjeta      , Entregado  , 16.0
P089     , 2026-08-05, Brownie            , Postre   , 1       ,          6500.0, Transferencia, Entregado  , 31.0
P113     , 2026-08-08, Hamburguesa clásica, Comida   , 1       ,         18000.0, Tarjeta      , Cancelado  , 
